Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
29910,ALBUQUERQUE,NM,87109,Albuquerque,NM,87109,NA,NA,NA,67000,4/20/2000,2000,504,3.25,1,240,NA,BERNALILLO,NM,CORPORATION,0,NA,0,West,NA,3762,67000,NA,240,YES,YES
29914,KINGWOOD,TX,77339,Houston,TX,77027,NA,NA,NA,133000,4/20/2000,2000,504,3.25,1,240,444130,HARRIS,TX,CORPORATION,0,NA,0,South,44,3762,133000,NA,240,YES,YES
29917,ORANGE,CA,92865,San Diego,CA,92106,NA,NA,NA,228000,4/20/2000,2000,PCLP,3.25,1,240,235520,ORANGE,CA,INDIVIDUAL,0,NA,0,West,23,3762,228000,NA,240,YES,YES
29950,RIVERSIDE,CA,92503,San Diego,CA,92106,NA,NA,NA,181000,4/26/2000,2000,504,3.25,1,240,NA,RIVERSIDE,CA,CORPORATION,0,NA,0,West,NA,3768,181000,NA,240,YES,YES
29962,SOLDIER,IA,51572,Sioux City,IA,51101,NA,NA,NA,256000,4/26/2000,2000,504,3.25,1,240,NA,MONONA,IA,INDIVIDUAL,0,NA,0,Midwest,NA,3768,256000,NA,240,YES,YES
29971,PLYMOUTH,MN,55447,Vadnais Heights,MN,55110,NA,NA,NA,659000,4/26/2000,2000,PCLP,3.25,1,240,NA,HENNEPIN,MN,CORPORATION,0,NA,0,Midwest,NA,3768,659000,NA,240,YES,YES
30042,OXFORD,MA,1540,Worcester,MA,1604,NA,NA,NA,322000,5/8/2000,2000,504,3.25,1,240,483211,WORCESTER,MA,CORPORATION,0,NA,0,Northeast,48,3780,322000,NA,240,YES,YES
30044,DOWNERS GROVE,IL,60515,Chicago,IL,60605,NA,NA,NA,971000,5/8/2000,2000,504,3.25,1,240,334290,DUPAGE,IL,CORPORATION,0,NA,0,Midwest,33,3780,971000,NA,240,YES,YES
30105,CHICAGO,IL,60607,Springfield,IL,62704,NA,NA,NA,578000,5/17/2000,2000,504,3.25,1,240,541430,COOK,IL,CORPORATION,0,NA,0,Midwest,54,3789,578000,NA,240,YES,YES
30151,CHICAGO,IL,60652,Chicago,IL,60605,NA,NA,NA,138000,5/23/2000,2000,504,3.25,1,240,811111,COOK,IL,CORPORATION,1,8/26/2004,0,Midwest,81,3795,138000,0,51,YES,YES
30165,SCHILLER PARK,IL,60176,Chicago,IL,60605,NA,NA,NA,188000,5/25/2000,2000,504,3.25,1,240,NA,COOK,IL,CORPORATION,0,NA,0,Midwest,NA,3797,188000,NA,240,YES,YES
30189,SAN DIEGO,CA,92127,San Diego,CA,92106,NA,NA,NA,877000,5/26/2000,2000,PCLP,3.25,1,240,421430,SAN DIEGO,CA,CORPORATION,0,NA,0,West,42,3798,877000,NA,240,YES,YES
30264,DUNEDIN,FL,34698,St. Petersburg,FL,33701,NA,NA,NA,262000,6/8/2000,2000,504,3.25,1,240,NA,PINELLAS,FL,CORPORATION,0,NA,0,South,NA,3811,262000,NA,240,YES,YES
30302,LONDONDERRY,NH,3053,Portsmouth,NH,3801,NA,NA,NA,262000,6/13/2000,2000,ALP,3.25,1,240,514210,ROCKINGHAM,NH,CORPORATION,0,NA,0,Northeast,51,3816,262000,NA,240,YES,YES
